Variable,Reference
HIP 4639,2MASS J00594924+4523075
HIP 1213,2MASS J00144120+5827154
HD 236542,2MASS J00500726+6009235
2MASS J00331619+6254260,2MASS J00333436+6251549
2MASS J00551294+6415387,2MASS J00554749+6416599
2MASS J00140323+6059104,2MASS J00143020+6102173
2MASS J00005923+6057324,2MASS J00012099+6100483
2MASS J00200306+6310472,2MASS J00200028+6312561
HD 236429,2MASS J00295933+6017452
HD 236349,HD 236351
HIP 390,2MASS J00052146+5012042
2MASS J00462987+6332359,2MASS J00461276+6335032
2MASS J00223127+6301588,2MASS J00221656+6259356
HIP 796,2MASS J00104026+6130096
2MASS J00240466+6120301,2MASS J00243811+6119500
2MASS J00263594+6047535,2MASS J00260409+6044001
2MASS J00371875+6312566,2MASS J00372991+6316476
HIP 5658,2MASS J01120890+6113182
HIP 8614,2MASS J01511563+5958354
HIP 5138,2MASS J01051511+6141091
2MASS J01160120+6137144,2MASS J01152126+6136582
2MASS J01385998+6459213,2MASS J01391908+6501454
HIP 5846,2MASS J01151914+6539380
2MASS J01300119+6217025,2MASS J01295665+6219224
2MASS J01081099+6216117,2MASS J01075247+6220333
2MASS J01235176+6231200,2MASS J01240659+6228249
2MASS J01431677+5959514,2MASS J01434688+5956572
HIP 8312,2MASS J01472273+6121024
HD   9250,2MASS J01321912+6332300
HD  14662,2MASS J02241502+5521114
HIP 12817,2MASS J02445067+6123337
2MASS J02104635+5915131,2MASS J02105785+5915482
2MASS J02265668+6034170,2MASS J02262594+6030275
2MASS J02102916+6317511,2MASS J02103409+6319485
2MASS J02441939+6445574,2MASS J02445865+6442553
HIP 10332,2MASS J02130549+5804044
2MASS J02343129+5849537,2MASS J02345920+5848087
HD 236948,2MASS J02074246+5826002
2MASS J02273545+5855018,2MASS J02281944+5855416
2MASS J02335256+5701390,2MASS J02335736+5700018
HIP 11420,2MASS J02273456+5930387
HIP 23210,2MASS J04595624+4047393
2MASS J04574007+4605331,2MASS J04571505+4606382
HD  25361,2MASS J04045844+5843333
2MASS J04073279+6019065,2MASS J04080744+6015432
2MASS J04060899+5848314,2MASS J04055842+5847232
HD 276861,HD 276862
HIP 20202,2MASS J04192368+4853147
HD  30282,2MASS J04474489+3640596
HD 278195,HD 278196
HD  31913,HD 277412
HD 277622,HD 277618
HIP 24105,2MASS J05101459+4941407
HD  38262,2MASS J05451548+1338164
2MASS J05343666+2612086,2MASS J05343814+2614262
2MASS J05270649+1656111,2MASS J05270551+1652515
HD  38321,HD 247180
HD  45412,HD 257490
2MASS J06052444+2847229,2MASS J06053375+2850214
HD  46595,2MASS J06345259+1521564
HD 250642,HD 250689A
HD 251549,HD 251488
HD 262433,2MASS J06431315+2056494
HIP 31361,2MASS J06343010+1259022
2MASS J06155987+2344509,2MASS J06153765+2345597
2MASS J06503233+0000251,2MASS J06503544+0004514
HIP 32854,HD 292631
2MASS J06311454+1151013,2MASS J06312051+1155001
2MASS J06333718+0912127,2MASS J06334986+0913357
2MASS J06521217-0248250,2MASS J06520987-0254040
HIP 31905,2MASS J06400246+0739462
2MASS J06565109+0430583,2MASS J06563278+0431551
2MASS J06321094+0639111,2MASS J06314805+0638134
2MASS J06324679+0002353,2MASS J06324515+0001051
HIP 31624,HD  47108
2MASS J06254386+0639186,2MASS J06253830+0642154
HIP 33014,2MASS J06524403-0231468
2MASS J06213607+0404248,2MASS J06213518+0404543
2MASS J06305297+0940231,2MASS J06310315+0943258
HIP 32516,2MASS J06471502+0401415
2MASS J06472693+0231014,2MASS J06471339+0232102
2MASS J06403756+1143389,2MASS J06405777+1146056
2MASS J06453373+0748587,2MASS J06453243+0752348
2MASS J06054472+1314239,2MASS J06055333+1316499
HIP 29022,2MASS J06071375+1103512
2MASS J06240414+1142318,2MASS J06241755+1142398
HD 253057,2MASS J06112628+0940517
HD 252641,2MASS J06101371+2402085
HD 267374,2MASS J06590417+0940013
2MASS J06444394-0357086,2MASS J06444316-0357347
2MASS J06455331+1003411,2MASS J06455090+1006135
HD  52973,2MASS J07041272+2034213
HIP 33791,2MASS J07004151-0844061
HD  52610,HD 293115
HIP 93063,2MASS J18573236-0044426
2MASS J18481633+0049034,2MASS J18475602+0046152
2MASS J18531788-0006272,2MASS J18531468-0006223
HD 229414,2MASS J18453462+1218235
HIP 91366,2MASS J18373994-0821541
HD 172902,2MASS J18424856-0544166
HD 173058,HD 173008
HIP 91613,2MASS J18405406-0605381
HIP 91738,2MASS J18423737-0518445
2MASS J18141582-0920206,HD 167219
HIP 91239,2MASS J18364568-0810329
HD 173838,2MASS J18473637-0656247
HD 183344,2MASS J19291035-0705546
HD 187929,HD 187900
HD 188727,HD 354103
HD 178359,2MASS J19080400+0114165
HD 179494,2MASS J19125589+0336073
HIP 93399,2MASS J19013693+0008173
HIP 95118,2MASS J19204198+0829174
HD 356404,2MASS J19573693+1056534
2MASS J19100041+1232117,HD 230808
2MASS J19200694+1247429,2MASS J19195727+1244572
HD 186688,HD 332545
HIP 98376,HD 333259
2MASS J19593371+3344458,2MASS J19591023+3345047
2MASS J19574609+3538098,2MASS J19572441+3539356
HIP 97439,2MASS J19482208+4308302
2MASS J19311048+1915255,HD 350095
HD 185059,2MASS J19364544+2016034
HD 339279,HD 339181
HIP 97309,HD 344900
2MASS J19584015+2741011,2MASS J19583813+2737233
HD 178287,2MASS J19081839-0721100
HD 179315,2MASS J19120076+0421557
HIP 96596,2MASS J19382237+3226526
HD 198726,HD 335264
HD 354511,HD 354510
2MASS J20455979+4518250,2MASS J20460432+4516298
HD 331970,2MASS J20124067+3248170
HIP 101035,2MASS J20290669+3410162
HD 227959,HD 227913
HIP 103241,2MASS J20543754+4729032
2MASS J20052066+3239327,2MASS J20052891+3241422
HIP 98675,2MASS J20021819+0042448
HIP 99887,2MASS J20154120+3503226
HD 201078,2MASS J21060938+3111114
HD 203156,2MASS J21191285+3809479
HIP 104002,2MASS J21040189+3954020
HIP 107899,2MASS J21515297+4308419
HIP 104877,HD 202491
HIP 104564,2MASS J21111754+4907227
HIP 106754,2MASS J21374595+5149541
2MASS J21324042+4912450,2MASS J21324289+4918331
2MASS J21340347+5318363,2MASS J21334199+5316089
2MASS J21284492+4858415,2MASS J21285379+4859153
HD 208960,2MASS J21582171+6100394
HIP 105369,2MASS J21201727+4527236
2MASS J21293894+4858086,2MASS J21301019+4857562
2MASS J21475650+4408234,2MASS J21474948+4408018
HD 213306,HD 213224
HIP 110964,2MASS J22281032+5811068
HD 240059,2MASS J22461054+5925597
2MASS J22022921+5708383,2MASS J22023806+5706466
2MASS J22073545+5521459,2MASS J22071485+5518277
2MASS J22233861+5740508,2MASS J22241133+5742040
HD 240073,2MASS J22490574+5623297
HD 235739,2MASS J22085359+5057291
HD 214975,2MASS J22403087+5647315
HD 240024,2MASS J22414381+5626560
HIP 108630,2MASS J22004905+4329138
HD 239994,2MASS J22335757+5721457
HD 216105,2MASS J22490574+5623297
HIP 116556,2MASS J23375968+6225153
HIP 117690,2MASS J23515288+5842485
HIP 114160,2MASS J23072231+5836105
HIP 117154,2MASS J23443758+6303578
HIP 118174,2MASS J23573267+6111041
2MASS J23392727+6222198,HD 222351
HIP 118122,2MASS J23580579+6241108
HIP 116684,2MASS J23383984+5927158
