Object Name,Catalog No.,Reference Star Object Name,Reference Star Catalog No.,hh,mm,ss,deg,','',Reference Epoch,Reference Star Magnitude (V)
HIP_4639,HIP 4639,2MASS_J00594924+4523075,2MASS J00594924+4523075,00,59,49.2446,45,23,07.517,J2000,11.63
HIP_1213,HIP 1213,2MASS_J00144120+5827154,2MASS J00144120+5827154,00,14,41.1766,58,27,15.344,J2000,10.76
HD_236542,HD 236542,2MASS_J00500726+6009235,2MASS J00500726+6009235,00,50,07.2744,60,09,23.546,J2000,10.94
2MASS_J00331619+6254260,2MASS J00331619+6254260,2MASS_J00333436+6251549,2MASS J00333436+6251549,00,33,34.3643,62,51,54.955,J2000,11.77
2MASS_J00551294+6415387,2MASS J00551294+6415387,2MASS_J00554749+6416599,2MASS J00554749+6416599,00,55,47.5010,64,16,59.939,J2000,10.27
2MASS_J00140323+6059104,2MASS J00140323+6059104,2MASS_J00143020+6102173,2MASS J00143020+6102173,00,14,30.2001,61,02,17.300,J2000,12.34
2MASS_J00005923+6057324,2MASS J00005923+6057324,2MASS_J00012099+6100483,2MASS J00012099+6100483,00,01,21.0123,61,00,48.265,J2000,11.46
2MASS_J00200306+6310472,2MASS J00200306+6310472,2MASS_J00200028+6312561,2MASS J00200028+6312561,00,20,00.2978,63,12,56.195,J2000,12.328
HD_236429,HD 236429,2MASS_J00295933+6017452,2MASS J00295933+6017452,00,29,59.3363,60,17,45.159,J2000,10.9
--,--,--,--,--,--,--,--,--,--,--,--
HD_236349,HD 236349,HD_236351,HD 236351,00,14,46.3750,56,12,28.030,J2000,9.14
--,--,--,--,--,--,--,--,--,--,--,--
HIP_390,HIP 390,2MASS_J00052146+5012042,2MASS J00052146+5012042,00,05,21.4743,50,12,04.229,J2000,10.91
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J00462987+6332359,2MASS J00462987+6332359,2MASS_J00461276+6335032,2MASS J00461276+6335032,00,46,12.7623,63,35,03.215,J2000,12.36
2MASS_J00223127+6301588,2MASS J00223127+6301588,2MASS_J00221656+6259356,2MASS J00221656+6259356,00,22,16.5645,62,59,35.576,J2000,10.82
HIP_796,HIP 796,2MASS_J00104026+6130096,2MASS J00104026+6130096,00,10,40.2476,61,30,09.622,J2000,11.06
2MASS_J00240466+6120301,2MASS J00240466+6120301,2MASS_J00243811+6119500,2MASS J00243811+6119500,00,24,38.1288,61,19,50.036,J2000,11.56
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J00263594+6047535,2MASS J00263594+6047535,2MASS_J00260409+6044001,2MASS J00260409+6044001,00,26,04.0934,60,44,00.222,J2000,12.18
2MASS_J00371875+6312566,2MASS J00371875+6312566,2MASS_J00372991+6316476,2MASS J00372991+6316476,00,37,29.9453,63,16,47.600,J2000,10.86
HIP_5658,HIP 5658,2MASS_J01120890+6113182,2MASS J01120890+6113182,01,12,08.9130,61,13,18.250,J2000,11.63
HIP_8614,HIP 8614,2MASS_J01511563+5958354,2MASS J01511563+5958354,01,51,15.6469,59,58,35.526,J2000,12.17
HIP_5138,HIP 5138,2MASS_J01051511+6141091,2MASS J01051511+6141091,01,05,15.1074,61,41,09.083,J2000,10.35
2MASS_J01160120+6137144,2MASS J01160120+6137144,2MASS_J01152126+6136582,2MASS J01152126+6136582,01,15,21.2636,61,36,58.178,J2000,11.9
2MASS_J01385998+6459213,2MASS J01385998+6459213,2MASS_J01391908+6501454,2MASS J01391908+6501454,01,39,19.0854,65,01,45.448,J2000,11.39
HIP_5846,HIP 5846,2MASS_J01151914+6539380,2MASS J01151914+6539380,01,15,19.1439,65,39,38.026,J2000,11.45
2MASS_J01300119+6217025,2MASS J01300119+6217025,2MASS_J01295665+6219224,2MASS J01295665+6219224,01,29,56.6622,62,19,22.488,J2000,12.37
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J01081099+6216117,2MASS J01081099+6216117,2MASS_J01075247+6220333,2MASS J01075247+6220333,01,07,52.4659,62,20,33.431,J2000,11.8
2MASS_J01235176+6231200,2MASS J01235176+6231200,2MASS_J01240659+6228249,2MASS J01240659+6228249,01,24,06.5955,62,28,24.919,J2000,11.94
2MASS_J01431677+5959514,2MASS J01431677+5959514,2MASS_J01434688+5956572,2MASS J01434688+5956572,01,43,46.8693,59,56,57.323,J2000,12.07
HIP_8312,HIP 8312,2MASS_J01472273+6121024,2MASS J01472273+6121024,01,47,22.7492,61,21,02.489,J2000,10.8
HD___9250,HD   9250,2MASS_J01321912+6332300,2MASS J01321912+6332300,01,32,19.1507,63,32,30.037,J2000,10.32
HD__14662,HD  14662,2MASS_J02241502+5521114,2MASS J02241502+5521114,02,24,15.0246,55,21,11.397,J2000,10.77
HIP_12817,HIP 12817,2MASS_J02445067+6123337,2MASS J02445067+6123337,02,44,50.6692,61,23,33.871,J2000,10.97
2MASS_J02104635+5915131,2MASS J02104635+5915131,2MASS_J02105785+5915482,2MASS J02105785+5915482,02,10,57.8715,59,15,48.408,J2000,12.317
2MASS_J02265668+6034170,2MASS J02265668+6034170,2MASS_J02262594+6030275,2MASS J02262594+6030275,02,26,25.9378,60,30,27.576,J2000,11.55
--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--
2MASS_J02102916+6317511,2MASS J02102916+6317511,2MASS_J02103409+6319485,2MASS J02103409+6319485,02,10,34.0870,63,19,48.541,J2000,11.02
2MASS_J02441939+6445574,2MASS J02441939+6445574,2MASS_J02445865+6442553,2MASS J02445865+6442553,02,44,58.6582,64,42,55.336,J2000,11.13
HIP_10332,HIP 10332,2MASS_J02130549+5804044,2MASS J02130549+5804044,02,13,05.4986,58,04,04.542,J2000,11.28
2MASS_J02343129+5849537,2MASS J02343129+5849537,2MASS_J02345920+5848087,2MASS J02345920+5848087,02,34,59.1970,58,48,08.770,J2000,11.82
HD_236948,HD 236948,2MASS_J02074246+5826002,2MASS J02074246+5826002,02,07,42.4593,58,26,00.167,J2000,11.55
2MASS_J02273545+5855018,2MASS J02273545+5855018,2MASS_J02281944+5855416,2MASS J02281944+5855416,02,28,19.4623,58,55,41.387,J2000,11.06
2MASS_J02335256+5701390,2MASS J02335256+5701390,2MASS_J02335736+5700018,2MASS J02335736+5700018,02,33,57.3663,57,00,01.775,J2000,11.72
